Book,Chapter,Verses,Topic,Quote,Average
Ephesians,1,1,figs_metaphor,who are faithful in Christ Jesus,2
Ephesians,1,7,figs_metaphor,riches of his grace,1
Ephesians,1,8,figs_metaphor,He lavished this grace upon us,1.5
Ephesians,1,13,figs_metaphor,it was in him that you also have believed and were sealed,1.7
Ephesians,1,13,figs_metaphor,were sealed with the promised Holy Spirit,1.8
Ephesians,1,11,figs_metaphor,we were appointed as heirs,1.7
Ephesians,1,22,figs_metaphor,the head over all things in the church,1.5
Ephesians,2,1,figs_metaphor,you were dead in your trespasses and sins,1.3
Ephesians,2,5,figs_metaphor,While we were dead in trespasses/< he made us alive together in Christ,1.7
Ephesians,2,11,figs_metaphor,Gentiles in the flesh,1.5
Ephesians,2,12,figs_metaphor,strangers to the covenants of the promise,1.3
Ephesians,2,15,figs_metaphor,one new man,1.3
Ephesians,2,16,figs_metaphor,putting to death the hostility,1.5
Ephesians,2,19,figs_metaphor,you Gentiles ... God's household,1.7
Ephesians,2,21,figs_metaphor,the whole building fits together and grows as a temple,1.5
Ephesians,2,22,figs_metaphor,you also are being built together as a dwelling place for God in the Spirit,1.7
Ephesians,3,6,figs_metaphor,fellow members of the body,1.7
Ephesians,3,8,figs_metaphor,riches of Christ,1.2
Ephesians,3,17,figs_metaphor,that you will be rooted and grounded in his love,1
Ephesians,3,18,figs_metaphor,the width the length the height and the depth of Christ's love,1
Ephesians,4,1,figs_metaphor,walk worthily of the calling,1.3
Ephesians,4,4,figs_metaphor,one body,1.3
Ephesians,4,12,figs_metaphor,for the building up of the body of Christ,1.3
Ephesians,4,14,figs_metaphor,tossed around ... carried away by every wind of teaching,1.3
Ephesians,4,15,figs_metaphor,into him who is the head ... the whole body grows and builds itself up,1.3
Ephesians,4,19,figs_metaphor,have handed themselves over to sensuality,1.5
Ephesians,4,23,figs_metaphor,to be renewed in the spirit of your minds,1.5
Ephesians,4,24,figs_metaphor,to put on the new man that is created in the image of God,1.7
Ephesians,5,5,figs_metaphor,inheritance,1.2
Ephesians,5,8,figs_metaphor,For you were once darkness,1.5
Ephesians,5,8,figs_metaphor,walk as children of light,1.7
Ephesians,5,9,figs_metaphor,the fruit of the light consists in all goodness righteousness and truth,1.5
